Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,4356810.54000,4142533.91000,4025200.28000,3963843.17000,4006647.27000,4091431.25000,4086050.73000,4316137.73000,4611708.80000,4798809.67000,4898399.85000,5028654.73000,5012120.13000,4807479.26000,4595350.40000,4494351.82000,4466666.41000,4630248.52000,5983793.66000,6596901.14000,6322799.17000,5789117.63000,5034215.78000,4379316.30000,2004-01-25
Sistema,Sistema,4079046.58000,3967669.76000,3914247.79000,3937535.42000,4184599.68000,4879300.72000,5293199.70000,5433170.03000,5776865.08000,5952376.86000,6196187.65000,6329727.25000,6020121.03000,5827886.22000,5872612.04000,5860788.02000,5870146.08000,5918494.55000,7034359.41000,7537063.60000,7178146.68000,6472406.57000,5462855.12000,4685413.29000,2004-01-26
Sistema,Sistema,4347814.37000,4256647.29000,4190803.08000,4201154.72000,4476943.27000,5164263.18000,5564476.27000,5615046.93000,5850312.96000,5991065.04000,6165811.95000,6388111.15000,6051246.08000,5886639.82000,5919912.38000,5927202.13000,5939151.40000,5976179.20000,7086813.88000,7582191.72000,7140306.17000,6492913.93000,5437644.35000,4743897.27000,2004-01-27
Sistema,Sistema,4393655.48000,4292666.96000,4211457.07000,4210871.25000,4469088.33000,5231094.67000,5579995.09000,5668943.20000,5975736.75000,6127709.41000,6308885.59000,6415739.48000,6138476.55000,5961254.48000,5990242.45000,5997130.04000,6008420.19000,6009769.89000,7129592.73000,7662202.42000,7257652.36000,6597902.75000,5516550.03000,4784654.36000,2004-01-28
Sistema,Sistema,4457334.83000,4280444.95000,4214970.70000,4245033.87000,4587072.94000,5205363.48000,5574394.64000,5703505.71000,5993056.30000,6169074.64000,6381805.37000,6517175.27000,6185952.63000,5942205.46000,6039951.82000,6058933.84000,6034171.90000,6029627.41000,7182667.64000,7644942.15000,7244454.10000,6585694.03000,5590298.25000,4855023.20000,2004-01-29
Sistema,Sistema,4469561.44000,4344588.32000,4269879.42000,4304806.87000,4564370.37000,5231289.13000,5597812.94000,5688444.83000,5983787.05000,6135920.53000,6344367.74000,6473717.59000,6171104.64000,5967382.83000,5984914.54000,5957273.82000,5976582.23000,5988074.42000,7088203.38000,7603347.47000,7221695.71000,6609650.13000,5661185.67000,4953160.34000,2004-01-30
Sistema,Sistema,4617992.85000,4453930.71000,4346880.28000,4345565.76000,4488143.64000,4739661.17000,4934795.03000,5244423.46000,5626435.37000,5830921.40000,5975075.09000,6135655.95000,5981908.47000,5650638.78000,5436604.60000,5298338.92000,5273681.26000,5342984.82000,6580901.42000,7188586.93000,6885868.34000,6368920.88000,5608805.24000,4901361.26000,2004-01-31
Sistema,Sistema,4472593.50000,4262782.97000,4137634.40000,4091406.20000,4108650.85000,4230049.08000,4259226.29000,4464870.84000,4770939.91000,4973900.35000,5027370.54000,5119193.34000,5087202.39000,4950565.02000,4764576.72000,4584928.79000,4554099.72000,4695568.50000,6049295.77000,6809238.91000,6599759.10000,6042303.34000,5216454.14000,4562370.18000,2004-02-01
Sistema,Sistema,4232150.87000,4112621.53000,4038379.32000,4046348.87000,4346003.91000,5178340.49000,5492492.41000,5462897.73000,5726340.82000,5937449.43000,6200882.94000,6379952.76000,6067342.39000,5861640.78000,5938012.35000,5928051.01000,5914309.18000,5914836.72000,7025764.02000,7635376.50000,7214325.37000,6505836.00000,5438688.89000,4693059.66000,2004-02-02
Sistema,Sistema,4407183.96000,4303852.57000,4245268.23000,4286439.63000,4553245.84000,5458180.09000,5801344.73000,5771397.71000,5966919.60000,6104666.51000,6343616.54000,6463561.16000,6132407.27000,5949367.02000,6006542.74000,6040753.40000,6035865.45000,6098544.17000,7223189.56000,7796894.18000,7406340.89000,6717995.00000,5626838.15000,4834300.97000,2004-02-03
