Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
4YLM,POLARIS I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2025-07-13,OPERACION
4YLO,SAN ONOFRE,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2025-07-13,OPERACION
4YOP,AGPE PAN SANTANA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-17,OPERACION
4YOR,AGPE TOPFLG1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2025-07-17,OPERACION
4Z4G,AGPE PRIMAX DORADA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-17,OPERACION
4Z4I,AGPE AUTOGAS EDS COLTEJER,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-17,OPERACION
4Z63,AGPE PLANTA NELSON POLO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
4Z65,AGPE JERONIMO MARTINS COLOMBIA SAS TIENDA 130,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
4Z69,AGPE FONDO DE EMPLEADOS BANCO BBVA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-24,OPERACION
4Z6B,AGPE SUPERMERCADO PUNTO ROJO JD,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-24,OPERACION
4Z6D,AGPE COLEGIO SMART,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-07-24,OPERACION
4Z6F,AGPE ALEJANDRO HAGE TAFACHE LOCAL 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENBC,RAD SOLAR,2025-07-24,OPERACION
4Z6H,AGPE ALEJANDRO HAGE TAFACHE LOCAL 3,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENBC,RAD SOLAR,2025-07-24,OPERACION
4Z6J,AGPE MINERCONDOR SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-07-24,OPERACION
