Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,daily_sum_kWh
Sistema,Sistema,5294536.46,5069902.71,4934007.53,4820343.96,4788834.86,4867230.14,4774908.23,4999432.64,5327619.16,5606587.78,5751162.08,5876427.25,5918302.61,5808873.99,5676109.89,5555219.26,5509468.99,5618951.76,6797291.79,7532967.41,7373337.77,6884158.59,6136543.16,5503574.11,2010-02-07,136425792.13
Sistema,Sistema,5014940.92,4888934.95,4814532.71,4824018.61,5145740.87,6006710.05,6165242.89,6296341.76,6737031.55,7076095.82,7428664.16,7604149.29,7360664.8,7286875.45,7420020.47,7432561.28,7298074.67,7200066.7,8109523.04,8700828.25,8373089.12,7720029.52,6822359.01,5760034.21,2010-02-08,161486530.10000002
Sistema,Sistema,5311992.79,5169025.76,5066418.67,5054900.96,5303648.68,6155333.64,6380372.25,6432935.09,6824695.65,7055689.0,7301845.11,7415966.48,7147757.78,7126686.74,7346405.93,7338063.24,7244019.0,7257136.34,8204991.2,8551588.89,8162908.56,7445328.33,6567367.34,5668411.01,2010-02-09,161533488.44
Sistema,Sistema,5231122.18,5026066.43,4959621.17,4956940.38,5262150.22,6085767.83,6313471.85,6377232.93,6739290.12,6995083.04,7294665.92,7448515.62,7167353.8,7140464.44,7307430.74,7280702.51,7235167.81,7249975.69,8282262.54,8636381.02,8241854.49,7487842.47,6693373.14,5747331.83,2010-02-10,161160068.17
Sistema,Sistema,5298529.62,5123165.32,5012856.2,5011277.08,5291320.31,6065431.42,6301690.02,6433454.59,6828755.05,7069973.85,7322163.22,7527795.02,7190695.01,7144216.58,7295711.94,7303352.74,7163734.84,7094658.73,8163001.88,8626918.4,8231947.85,7571401.26,6686696.19,5790421.98,2010-02-11,161549169.1
Sistema,Sistema,5328383.03,5127629.98,5030636.0,5008551.92,5311982.01,6041095.44,6264559.44,6377255.86,6802468.87,7053480.18,7339136.79,7466472.53,7254637.52,7234693.99,7373538.82,7362185.83,7245161.59,7174479.22,8173558.47,8524652.93,8119696.11,7575132.21,6779100.8,5981994.52,2010-02-12,161950484.06000003
Sistema,Sistema,5500966.09,5222972.04,5110805.06,5078867.53,5196120.63,5394867.67,5549819.37,5942038.19,6406197.8,6727914.46,7001578.9,7101554.02,7055356.25,6814083.14,6631977.98,6517360.51,6390716.06,6498312.2,7681000.17,8047419.84,7723367.23,7204003.25,6539798.04,5826357.64,2010-02-13,153163454.07
Sistema,Sistema,5327168.24,5109719.12,4923948.64,4848915.37,4821553.89,4842905.66,4735072.33,4936380.87,5287979.27,5569320.96,5777045.6,5917983.93,5953781.95,5854571.11,5721578.87,5602933.62,5539382.43,5628711.06,6824893.75,7519040.26,7369017.3,6835666.2,6079780.22,5422855.97,2010-02-14,136450206.62000003
Sistema,Sistema,5012109.49,4888988.73,4777379.74,4808893.6,5119419.46,5930588.05,6129297.22,6249218.8,6658215.11,6879092.42,7161966.51,7363578.84,7163028.78,7030962.42,7228507.79,7240739.59,7204412.93,7173764.29,8091799.87,8597170.22,8226433.74,7625128.89,6659475.68,5714580.11,2010-02-15,158934752.28000003
Sistema,Sistema,5332729.82,5125103.06,5037716.4,5063870.72,5341677.66,6103384.89,6335815.82,6371760.3,6776874.41,7011853.72,7253565.69,7382632.28,7171562.66,7121883.18,7247063.3,7327383.73,7261601.28,7187073.57,8155886.08,8644496.5,8295092.15,7665393.58,6693275.65,5796790.95,2010-02-16,161704487.39999998
Sistema,Sistema,5371278.57,5207220.52,5084050.73,5083678.72,5365127.15,6230294.85,6473513.95,6508122.57,6880741.46,7083925.56,7376674.51,7579159.56,7293087.77,7239161.72,7405735.24,7452444.01,7375870.4,7282023.46,8166427.83,8707712.45,8400064.64,7743882.24,6807578.66,5854650.48,2010-02-17,163972427.05
Sistema,Sistema,5413231.83,5188557.1,5071963.29,5056987.21,5355704.41,6167215.93,6415502.52,6518412.88,6943510.78,7165560.37,7377421.37,7648689.36,7416081.84,7332381.16,7437634.37,7467586.25,7423923.07,7317864.97,8225283.5,8731814.75,8374112.25,7726719.46,6813726.85,5840941.26,2010-02-18,164430826.78
Sistema,Sistema,5443082.62,5234299.44,5122200.66,5107277.92,5352098.79,6208692.91,6526334.65,6601906.74,7027795.82,7221373.74,7443714.61,7622792.17,7351791.5,7326271.6,7463851.74,7489489.35,7441935.56,7466163.83,8207332.5,8563758.56,8204283.26,7622082.74,6815367.61,6018582.93,2010-02-19,164882481.25
Sistema,Sistema,5551874.84,5291555.18,5174513.53,5124641.42,5258091.99,5504282.75,5701842.23,6118402.92,6567866.15,6871341.6,7136121.86,7275680.3,7167191.3,6925604.81,6714184.29,6604052.25,6486941.6,6526250.4,7685271.45,8143957.1,7866929.95,7282493.35,6553395.67,5846625.21,2010-02-20,155379112.14999998
Sistema,Sistema,5375983.86,5125729.38,4976215.7,4888206.6,4861848.59,4910502.85,4803007.39,5005627.28,5381700.89,5665693.75,5844153.34,6019511.47,6087649.69,5967102.03,5807728.98,5727066.32,5673583.75,5766420.36,6969762.19,7658110.55,7477013.05,6962904.4,6263454.3,5540379.8,2010-02-21,138759356.52
Sistema,Sistema,5135631.3,4924711.14,4868101.52,4865380.68,5169222.66,5986323.11,6249513.58,6413654.89,6879358.33,7190940.53,7499790.89,7700909.83,7425564.76,7362117.56,7488260.07,7514832.58,7488049.27,7434756.58,8414459.37,8791816.68,8355379.95,7772449.28,6935438.45,5962096.41,2010-02-22,163828759.42
Sistema,Sistema,5536312.11,5304759.56,5158145.07,5125478.65,5397719.37,6220958.63,6481298.01,6549845.29,6891353.98,7128005.76,7360795.1,7511039.51,7252949.59,7147581.55,7269923.27,7339989.01,7245753.28,7195792.89,8175124.98,8595654.03,8216675.71,7614840.78,6643240.45,5716208.49,2010-02-23,163079445.07000002
Sistema,Sistema,5262746.8,5073856.61,4975025.95,4952794.33,5246937.32,6082835.2,6366443.8,6456506.15,6867632.57,7125025.0,7413785.03,7612497.15,7339204.87,7245849.8,7368444.8,7436202.08,7322991.9,7251538.71,8181819.33,8641010.73,8191200.79,7555862.81,6625691.2,5721878.95,2010-02-24,162317781.87999997
Sistema,Sistema,5268556.66,5066360.88,4983633.4,4970531.07,5235279.12,6071384.13,6338445.08,6415929.91,6793110.72,6994870.37,7321211.91,7478252.89,7186419.64,7115091.93,7285094.15,7310322.95,7264261.6,7244836.5,8167758.66,8604617.17,8209183.28,7593224.07,6636834.39,5702479.45,2010-02-25,161257689.92999998
Sistema,Sistema,5236871.05,5072925.87,4984383.23,4961387.06,5222625.02,5995459.52,6344683.51,6461967.83,6852580.87,7058653.02,7338404.54,7435550.36,7150350.16,7050393.7,7188901.08,7193241.91,7081135.13,7091034.83,7946863.79,8378292.25,8006105.37,7447758.99,6610273.08,5813383.61,2010-02-26,159923225.78000003
Sistema,Sistema,5346825.96,5091146.4,4971918.82,4953597.13,5054532.31,5304609.56,5488778.87,5829054.09,6367990.8,6698176.09,6998971.99,7145590.61,6988428.53,6765841.7,6559969.88,6479672.12,6377648.26,6395071.07,7497230.84,8048823.17,7742520.23,7200910.02,6483996.95,5776384.59,2010-02-27,151567689.99000004
Sistema,Sistema,5284994.6,5037640.58,4873006.44,4750782.27,4762272.99,4800463.45,4642519.31,4890013.85,5256938.34,5506907.75,5724712.36,5879588.71,5908498.46,5846685.64,5690708.4,5560457.36,5486325.61,5555664.7,6766995.78,7506454.54,7371873.17,6861540.08,6140017.53,5413684.99,2010-02-28,135518746.91000003
Sistema,Sistema,5023534.71,4837437.37,4783320.19,4754494.71,5023812.18,5836844.92,6044613.51,6164727.96,6612738.83,6921023.48,7232053.95,7465358.88,7248833.68,7160834.05,7292986.57,7307914.24,7169131.66,7089769.78,8111400.43,8593680.82,8205061.6,7577653.59,6647178.5,5736465.58,2010-03-01,158840871.19
Sistema,Sistema,5277803.86,5082146.68,5003235.06,5020795.26,5262148.24,5983901.23,6278113.69,6544524.94,6945420.8,7196477.91,7480663.57,7566791.72,7303402.84,7203588.17,7315778.79,7295920.29,7177638.75,7183456.71,8149517.71,8573045.74,8220925.76,7626703.97,6669104.14,5759459.76,2010-03-02,162120565.58999997
Sistema,Sistema,5367126.06,5146055.01,5028746.26,5005125.17,5278138.49,6012038.19,6315623.21,6494527.98,6868355.62,7141531.09,7389009.26,7536013.96,7209572.01,7097273.5,7151267.96,7182892.19,7168955.38,7180525.84,8140144.63,8552943.43,8108391.53,7479007.18,6556145.26,5676764.62,2010-03-03,161086173.82999998
Sistema,Sistema,5274038.75,5023247.66,4942538.01,4959246.61,5185393.85,5864286.97,6209964.73,6370070.35,6783413.31,7035962.13,7356064.14,7496600.91,7247770.77,7197338.96,7325223.73,7329042.11,7249981.54,7140784.48,8100786.57,8656318.61,8308600.6,7630929.7,6735723.26,5826340.55,2010-03-04,161249668.3
Sistema,Sistema,5378235.42,5177629.25,5042402.61,5034042.01,5317707.47,6103054.53,6354524.42,6459143.78,6821903.39,7045185.95,7312399.4,7443796.02,7204003.06,7113902.02,7249392.81,7283205.21,7210518.37,7139640.0,8084107.28,8473727.49,8107511.31,7551980.41,6733788.96,5926174.46,2010-03-05,161567975.63
Sistema,Sistema,5468104.45,5212477.32,5076129.8,5036714.65,5149559.68,5444585.58,5634359.23,6025108.28,6530857.77,6785015.75,6957751.92,7129234.21,7074203.96,6841989.41,6612016.39,6455697.12,6366650.75,6450603.76,7566699.74,8068690.96,7729539.44,7152136.64,6432224.04,5813686.38,2010-03-06,153014037.22999996
Sistema,Sistema,5353975.5,5067650.69,4911823.19,4797690.85,4772202.76,4840899.9,4719457.78,4922556.9,5289408.47,5559125.26,5731249.89,5761691.42,5871907.16,5829984.96,5644365.23,5549689.15,5498627.31,5658223.07,6787570.97,7436431.09,7284182.76,6764232.45,6035114.25,5354706.01,2010-03-07,135442767.02
