Id,Value,Date
Sistema,0.5851,2004-05-19
Sistema,0.59694,2004-05-20
Sistema,0.60063,2004-05-21
Sistema,0.60465,2004-05-22
Sistema,0.60874,2004-05-23
Sistema,0.61294,2004-05-24
Sistema,0.61364,2004-05-25
Sistema,0.61668,2004-05-26
Sistema,0.6203,2004-05-27
Sistema,0.62241,2004-05-28
Sistema,0.62737,2004-05-29
Sistema,0.6325,2004-05-30
Sistema,0.63535,2004-05-31
Sistema,0.64086,2004-06-01
Sistema,0.647,2004-06-02
Sistema,0.65676,2004-06-03
Sistema,0.67092,2004-06-04
Sistema,0.68414,2004-06-05
Sistema,0.70031,2004-06-06
Sistema,0.70724,2004-06-07
Sistema,0.71068,2004-06-08
Sistema,0.71798,2004-06-09
Sistema,0.72,2004-06-10
Sistema,0.72044,2004-06-11
Sistema,0.72593,2004-06-12
Sistema,0.73103,2004-06-13
Sistema,0.73401,2004-06-14
Sistema,0.74046,2004-06-15
Sistema,0.74942,2004-06-16
Sistema,0.75126,2004-06-17
Sistema,0.75232,2004-06-18
Sistema,0.75376,2004-06-19
Sistema,0.75424,2004-06-20
Sistema,0.75523,2004-06-21
Sistema,0.75412,2004-06-22
Sistema,0.75386,2004-06-23
Sistema,0.757,2004-06-24
Sistema,0.75448,2004-06-25
Sistema,0.75408,2004-06-26
Sistema,0.75344,2004-06-27
Sistema,0.75796,2004-06-28
Sistema,0.75761,2004-06-29
Sistema,0.75724,2004-06-30
Sistema,0.7573,2004-07-01
Sistema,0.75759,2004-07-02
Sistema,0.75698,2004-07-03
Sistema,0.76132,2004-07-04
Sistema,0.76482,2004-07-05
Sistema,0.76374,2004-07-06
Sistema,0.76466,2004-07-07
Sistema,0.76418,2004-07-08
Sistema,0.76498,2004-07-09
Sistema,0.76637,2004-07-10
Sistema,0.76846,2004-07-11
Sistema,0.77173,2004-07-12
Sistema,0.77655,2004-07-13
Sistema,0.78568,2004-07-14
Sistema,0.78734,2004-07-15
Sistema,0.79218,2004-07-16
Sistema,0.79158,2004-07-17
Sistema,0.79121,2004-07-18
Sistema,0.79406,2004-07-19
Sistema,0.79501,2004-07-20
Sistema,0.79827,2004-07-21
Sistema,0.80397,2004-07-22
Sistema,0.80261,2004-07-23
Sistema,0.80459,2004-07-24
Sistema,0.80549,2004-07-25
Sistema,0.80532,2004-07-26
Sistema,0.80862,2004-07-27
Sistema,0.81196,2004-07-28
Sistema,0.81356,2004-07-29
Sistema,0.81243,2004-07-30
Sistema,0.81532,2004-07-31
Sistema,0.81499,2004-08-01
Sistema,0.81383,2004-08-02
Sistema,0.81242,2004-08-03
Sistema,0.81561,2004-08-04
Sistema,0.81326,2004-08-05
Sistema,0.81459,2004-08-06
Sistema,0.8143,2004-08-07
Sistema,0.81474,2004-08-08
Sistema,0.81425,2004-08-09
Sistema,0.81313,2004-08-10
Sistema,0.81167,2004-08-11
Sistema,0.81163,2004-08-12
Sistema,0.81044,2004-08-13
Sistema,0.80963,2004-08-14
Sistema,0.80975,2004-08-15
Sistema,0.80929,2004-08-16
Sistema,0.80729,2004-08-17
Sistema,0.80915,2004-08-18
Sistema,0.80738,2004-08-19
Sistema,0.81025,2004-08-20
Sistema,0.81169,2004-08-21
Sistema,0.81189,2004-08-22
Sistema,0.80864,2004-08-23
Sistema,0.80903,2004-08-24
Sistema,0.81131,2004-08-25
Sistema,0.81204,2004-08-26
Sistema,0.81225,2004-08-27
Sistema,0.81231,2004-08-28
Sistema,0.81237,2004-08-29
Sistema,0.81169,2004-08-30
Sistema,0.81401,2004-08-31
Sistema,0.81613,2004-09-01
Sistema,0.81504,2004-09-02
Sistema,0.81392,2004-09-03
Sistema,0.81539,2004-09-04
Sistema,0.82287,2004-09-05
Sistema,0.82382,2004-09-06
Sistema,0.82326,2004-09-07
Sistema,0.82405,2004-09-08
Sistema,0.82479,2004-09-09
Sistema,0.82713,2004-09-10
Sistema,0.83058,2004-09-11
Sistema,0.83264,2004-09-12
Sistema,0.83194,2004-09-13
Sistema,0.83213,2004-09-14
Sistema,0.83217,2004-09-15
Sistema,0.83173,2004-09-16
Sistema,0.83138,2004-09-17
Sistema,0.83157,2004-09-18
Sistema,0.83187,2004-09-19
Sistema,0.83195,2004-09-20
Sistema,0.83175,2004-09-21
Sistema,0.83026,2004-09-22
Sistema,0.82832,2004-09-23
Sistema,0.82769,2004-09-24
Sistema,0.82807,2004-09-25
Sistema,0.83063,2004-09-26
Sistema,0.83348,2004-09-27
Sistema,0.83506,2004-09-28
Sistema,0.83537,2004-09-29
Sistema,0.8357,2004-09-30
Sistema,0.83818,2004-10-01
Sistema,0.83787,2004-10-02
Sistema,0.83745,2004-10-03
Sistema,0.83776,2004-10-04
Sistema,0.83719,2004-10-05
Sistema,0.83793,2004-10-06
Sistema,0.83846,2004-10-07
