Values_code,max_hourly_kW,total_gen_kWh,days_active,capacidad_MW,gen_anual_GWh,factor_planta,Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
3PXF,19312.2,4590548.79,54,19.3122,4.59054879,0.02713493284038069,3PXF,BSB 502,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2025-11-19,OPERACION
3PXH,9879.3,1641615.1,36,9.879299999999999,1.6416151,0.01896885245090896,3PXH,CENTRO SOLAR,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GRCG,RAD SOLAR,2024-12-11,PRUEBAS
3PXJ,9714.0,808850.18,20,9.714,0.8088501800000001,0.00950530115645357,3PXJ,BUENAVISTA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GRCG,RAD SOLAR,2024-02-29,PRUEBAS
3Q87,979.31,239140.81,45,0.9793099999999999,0.23914081,0.027875932262250255,3Q87,GD ERCO SALDANA I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2024-11-18,OPERACION
3Q89,979.37,245425.05,45,0.97937,0.24542504999999998,0.028606714744354104,3Q89,GD ERCO SALDANA II,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2024-11-18,OPERACION
3Q99,4748.35,641485.58,13,4.74835,0.64148558,0.015421977631932034,3Q99,AUTOG BIODIANA 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,NTCG,BIOMASA,2025-01-25,OPERACION
3Q9K,1026.95,169058.95,27,1.02695,0.16905895,0.018792508783268096,3Q9K,MINIGRANJA LA PAZ VERSO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2025-01-18,OPERACION
3QCI,9761.4,2187657.08,46,9.7614,2.18765708,0.02558368096574215,3QCI,CONDOR,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,TEMG,RAD SOLAR,2024-12-20,PRUEBAS
3QK6,774.18,26405.920000000002,28,0.77418,0.026405920000000003,0.0038936351096950897,3QK6,AUTOG BIOS CIENAGA ORO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPMG,RAD SOLAR,2024-11-04,PRUEBAS
3QPE,88.99,22792.88,53,0.08899,0.02279288,0.029238419380146864,3QPE,GD BOCAS DEL PALO,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPSG,RAD SOLAR,2024-12-28,OPERACION
