year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2009,8,6426669.334905915,8809201.72,4320870.08,4781441985.17,31
2009,9,6777925.017444445,8957030.42,4656269.5,4880106012.559999,30
2009,10,6466927.716236559,8781759.0,4454086.16,4811394220.88,31
2009,11,6475541.915819445,8922895.71,4394961.99,4662390179.39,30
2009,12,6402538.476680107,9082241.67,4092757.97,4763488626.65,31
2010,1,6206482.40076613,8591541.75,3827254.47,4617622906.17,31
2010,2,6563264.559464285,8861554.27,4634944.65,4410513783.96,28
2010,3,6569657.913548387,8881231.25,4678009.39,4887825487.68,31
2010,4,6398923.334569444,8825881.6,4211226.12,4607224800.889999,30
2010,5,6430214.414650537,8839706.6,4466899.66,4784079524.5,31
2010,6,6438300.132375,8594039.7,4383807.81,4635576095.309999,30
2010,7,6397389.175846774,8617218.0,4417956.4,4759657546.83,31
2010,8,6479485.467244623,8749514.37,4491857.65,4820737187.63,31
2010,9,6573754.395569445,8671499.09,4535867.91,4733103164.81,30
2010,10,6617378.207916667,8881282.79,4438770.22,4923329386.69,31
2010,11,6684392.707041667,8862867.24,4687874.9,4812762749.07,30
2010,12,6579510.532862904,9038494.19,4283062.13,4895155836.45,31
2011,1,6508825.68969086,8808923.62,3944327.95,4842566313.13,31
2011,2,6667062.965193452,8893894.18,4577610.65,4480266312.61,28
2011,3,6790954.85188172,8989522.37,4766801.19,5052470409.8,31
2011,4,6501439.090652778,8858483.83,4041335.94,4681036145.27,30
2011,5,6615770.84780914,9055187.15,4578941.81,4922133510.77,31
2011,6,6593886.0668055555,9175001.04,4506206.21,4747597968.1,30
2011,7,6533218.482163978,9030355.94,4484384.51,4860714550.73,31
2011,8,6764906.001223118,9225798.05,4700513.05,5033090064.91,31
2011,9,6875335.210125,9195517.96,4439226.09,4950241351.29,30
2011,10,6764058.607836021,9154533.96,4687342.92,5032459604.2300005,31
2011,11,6957363.937902777,9322910.13,4558411.91,5009302035.29,30
2011,12,6731921.605913978,9356183.87,4224898.47,5008549674.8,31
2012,1,6491280.68030914,8929775.75,4123913.55,4829512826.15,31
2012,2,6694687.149137931,9003593.39,4715149.98,4659502255.8,29
2012,3,6807332.704287635,9034948.12,4670371.55,5064655531.99,31
2012,4,6630407.203875001,9157133.06,4363462.73,4773893186.79,30
2012,5,6830097.267096775,9326669.16,4716454.66,5081592366.72,31
2012,6,6846048.293444444,9353017.0,4670851.31,4929154771.28,30
2012,7,6842182.244986559,9295710.71,4663669.54,5090583590.27,31
2012,8,6915321.451962366,9127085.08,4700518.09,5144999160.26,31
2012,9,7146944.857291667,9312992.05,4949781.79,5145800297.25,30
2012,10,6893465.388427419,9222204.25,4732468.65,5128738248.99,31
2012,11,7021278.510638889,9380384.49,4926299.26,5055320527.66,30
2012,12,6834820.8546505375,9424913.5,4415025.25,5085106715.86,31
2013,1,6843884.153951613,9263542.86,4248461.58,5091849810.54,31
2013,2,7104963.883675596,9398252.13,4891123.24,4774535729.83,28
2013,3,6969106.977419354,9184459.48,4806619.34,5185015591.2,31
2013,4,7272231.499458333,9395230.47,4981271.8,5236006679.61,30
2013,5,7239107.483346774,9357874.25,4935924.99,5385895967.61,31
2013,6,7017091.187277777,9283917.16,4926347.61,5052305654.84,30
2013,7,7151550.836908602,9389097.72,4882871.34,5320753822.66,31
2013,8,7051388.265887096,9277073.07,4966613.99,5246232869.82,31
2013,9,7127259.052569444,9473387.67,4897752.2,5131626517.85,30
2013,10,7116973.481478495,9418808.43,4991658.96,5295028270.22,31
2013,11,7158326.214194445,9334979.99,4957229.08,5153994874.22,30
2013,12,7155029.07405914,9451665.93,4494066.26,5323341631.1,31
2014,1,7138197.819005376,9321724.14,4488298.43,5310819177.34,31
2014,2,7413272.654151785,9461524.13,5216474.87,4981719223.59,28
2014,3,7235839.755927419,9501781.59,5130144.36,5383464778.41,31
2014,4,7234850.582597222,9603340.78,4804509.96,5209092419.47,30
2014,5,7292697.776747311,9334436.77,5210417.94,5425767145.9,31
2014,6,7261978.027638888,9470197.05,5130296.12,5228624179.9,30
2014,7,7414021.231357527,9455954.16,5251155.2,5516031796.13,31
2014,8,7273747.267217742,9349392.02,5210732.2,5411667966.809999,31
2014,9,7537039.966680556,9533230.99,5325303.82,5426668776.01,30
2014,10,7416265.94094086,9505561.18,5047268.57,5517701860.059999,31
2014,11,7480317.894444445,9652823.92,5266181.75,5385828884.0,30
2014,12,7433444.074072581,9645884.63,4862275.56,5530482391.11,31
2015,1,7248031.288682796,9448788.05,4669974.39,5392535278.78,31
2015,2,7591161.065788691,9651936.94,5385803.87,5101260236.21,28
2015,3,7605809.855268817,9791964.46,5304543.17,5658722532.32,31
2015,4,7392821.967152778,9656655.47,4933268.05,5322831816.35,30
2015,5,7579528.477002688,9882115.13,5374749.86,5639169186.89,31
